,marketCap,Sector,Symbol
0,46915854336.0,Health Care,A
1,9337151488.0,Industrials,AAL
2,9387575296.0,Consumer Discretionary,AAP
3,2478514896896.0,Information Technology,AAPL
4,281782386688.0,Health Care,ABBV
5,34452254720.0,Health Care,ABC
6,17188044800.0,Health Care,ABMD
7,187474100224.0,Health Care,ABT
8,186292879360.0,Information Technology,ACN
9,159764119552.0,Information Technology,ADBE
10,88886001664.0,Information Technology,ADI
11,54142701568.0,Consumer Staples,ADM
12,110647001088.0,Information Technology,ADP
13,43350077440.0,Information Technology,ADSK
14,22705393664.0,Utilities,AEE
15,47221579776.0,Utilities,AEP
16,18988013568.0,Utilities,AES
17,47630016512.0,Financials,AFL
18,50614964224.0,Financials,AIG
19,7238320128.0,Financials,AIZ
20,40900096000.0,Financials,AJG
21,14935160832.0,Information Technology,AKAM
22,33209485312.0,Materials,ALB
23,15477286912.0,Health Care,ALGN
24,5806912000.0,Industrials,ALK
25,38514921472.0,Financials,ALL
26,10224436224.0,Industrials,ALLE
27,95666192384.0,Information Technology,AMAT
28,18520694784.0,Materials,AMCR
29,92261400576.0,Information Technology,AMD
30,32866656256.0,Industrials,AME
31,159629574144.0,Health Care,AMGN
32,37214613504.0,Financials,AMP
33,99394109440.0,Real Estate,AMT
34,47737839616.0,Consumer Discretionary,AMZN
35,42158489600.0,Information Technology,ANET
36,21548001280.0,Information Technology,ANSS
37,67033804800.0,Financials,AON
38,9793238016.0,Industrials,AOS
39,,Energy,APA
40,68311924736.0,Materials,APD
41,47884103680.0,Information Technology,APH
42,28920651776.0,Consumer Discretionary,APTV
43,23526635520.0,Real Estate,ARE
44,15736159232.0,Utilities,ATO
45,59655106560.0,Communication Services,ATVI
46,23549153280.0,Real Estate,AVB
47,220326084608.0,Information Technology,AVGO
48,15980378112.0,Materials,AVY
49,27459436544.0,Utilities,AWK
50,119227408384.0,Financials,AXP
51,51928121344.0,Consumer Discretionary,AZO
52,102759178240.0,Industrials,BA
53,307803258880.0,Financials,BAC
54,,Materials,BALL
55,28189016064.0,Health Care,BAX
56,10412009472.0,Consumer Discretionary,BBWI
57,19819819008.0,Consumer Discretionary,BBY
58,67652108288.0,Health Care,BDX
59,13322656768.0,Financials,BEN
60,44574679040.0,Health Care,BIIB
61,12080229376.0,Health Care,BIO
62,37566599168.0,Financials,BK
63,80865222656.0,Consumer Discretionary,BKNG
64,25081178112.0,Energy,BKR
65,111859523584.0,Financials,BLK
66,175662317568.0,Health Care,BMY
67,17303670784.0,Information Technology,BR
68,16558695424.0,Financials,BRO
69,62542807040.0,Health Care,BSX
70,10072779776.0,Consumer Discretionary,BWA
71,10956359680.0,Real Estate,BXP
72,95721185280.0,Financials,C
73,17686169600.0,Consumer Staples,CAG
74,22103451648.0,Health Care,CAH
75,38268395520.0,Industrials,CARR
76,128159981568.0,Industrials,CAT
77,92243181568.0,Financials,CB
78,13313311744.0,Financials,CBOE
79,25695653888.0,Real Estate,CBRE
80,60560281600.0,Real Estate,CCI
81,11342843904.0,Consumer Discretionary,CCL
82,10121017344.0,Information Technology,CDAY
83,46423887872.0,Information Technology,CDNS
84,25684221952.0,Information Technology,CDW
85,11346535424.0,Materials,CE
86,22800836608.0,Materials,CF
87,17712873472.0,Financials,CFG
88,19642499072.0,Consumer Staples,CHD
89,12746524672.0,Industrials,CHRW
90,69964734464.0,Communication Services,CHTR
91,106003931136.0,Health Care,CI
92,17532139520.0,Financials,CINF
93,64840376320.0,Consumer Staples,CL
94,18320101376.0,Consumer Staples,CLX
95,9409940480.0,Financials,CMA
96,162333720576.0,Communication Services,CMCSA
97,63254224896.0,Financials,CME
98,42451533824.0,Consumer Discretionary,CMG
99,35881009152.0,Industrials,CMI
100,17622267904.0,Utilities,CMS
101,48798351360.0,Health Care,CNC
102,19375360000.0,Utilities,CNP
103,43255963648.0,Financials,COF
104,15469644800.0,Health Care,COO
105,167163723776.0,Energy,COP
106,237009960960.0,Consumer Staples,COST
107,15853314048.0,Consumer Staples,CPB
108,15623574528.0,Industrials,CPRT
109,11995883520.0,Real Estate,CPT
110,12165957632.0,Health Care,CRL
111,149956411392.0,Information Technology,CRM
112,204849315840.0,Information Technology,CSCO
113,31602778112.0,Industrials,CSGP
114,71130611712.0,Industrials,CSX
115,47208583168.0,Industrials,CTAS
116,7220709888.0,Health Care,CTLT
117,22405939200.0,Energy,CTRA
118,31896279040.0,Information Technology,CTSH
119,47962214400.0,Materials,CTVA
120,12958720000.0,Information Technology,CTXS
121,132085202944.0,Health Care,CVS
122,355157606400.0,Energy,CVX
123,10506992640.0,Consumer Discretionary,CZR
124,49428680704.0,Utilities,D
125,22074085376.0,Industrials,DAL
126,37205045248.0,Materials,DD
127,134496714752.0,Industrials,DE
128,31845640192.0,Financials,DFS
129,59393196032.0,Consumer Discretionary,DG
130,18212331520.0,Health Care,DGX
131,30097293312.0,Consumer Discretionary,DHI
132,188183871488.0,Health Care,DHR
133,179730219008.0,Communication Services,DIS
134,8402663936.0,Communication Services,DISH
135,31497519104.0,Real Estate,DLR
136,33774893056.0,Consumer Discretionary,DLTR
137,20555296768.0,Industrials,DOV
138,38127104000.0,Materials,DOW
139,14243783680.0,Consumer Discretionary,DPZ
140,18356969472.0,Real Estate,DRE
141,19251009536.0,Consumer Discretionary,DRI
142,22179805184.0,Utilities,DTE
143,75811053568.0,Utilities,DUK
144,7366350848.0,Health Care,DVA
145,45900603392.0,Energy,DVN
146,7468796928.0,Information Technology,DXC
147,10944432128.0,Health Care,DXCM
148,37036535808.0,Communication Services,EA
149,28314159104.0,Consumer Discretionary,EBAY
150,43002245120.0,Materials,ECL
151,34196914176.0,Utilities,ED
152,24147855360.0,Industrials,EFX
153,24211535872.0,Utilities,EIX
154,80163799040.0,Consumer Staples,EL
155,,Health Care,ELV
156,11680146432.0,Materials,EMN
157,57121579008.0,Industrials,EMR
158,42602512384.0,Information Technology,ENPH
159,83463086080.0,Energy,EOG
160,19787198464.0,Information Technology,EPAM
161,60486979584.0,Real Estate,EQIX
162,23442249728.0,Real Estate,EQR
163,28253978624.0,Utilities,ES
164,13789501440.0,Real Estate,ESS
165,65912496128.0,Industrials,ETN
166,22702813184.0,Utilities,ETR
167,15212451840.0,Consumer Discretionary,ETSY
168,13468339200.0,Utilities,EVRG
169,47393198080.0,Health Care,EW
170,39005536256.0,Utilities,EXC
171,19310360576.0,Industrials,EXPD
172,15286144000.0,Consumer Discretionary,EXPE
173,20952760320.0,Real Estate,EXR
174,56067244032.0,Consumer Discretionary,F
175,27174440960.0,Energy,FANG
176,30144292864.0,Industrials,FAST
177,8986947584.0,Industrials,FBHS
178,55860600832.0,Materials,FCX
179,17150101504.0,Financials,FDS
180,46729932800.0,Industrials,FDX
181,22528129024.0,Utilities,FE
182,9535254528.0,Information Technology,FFIV
183,40147218432.0,Information Technology,FIS
184,67396485120.0,Information Technology,FISV
185,24795443200.0,Financials,FITB
186,15413929984.0,Information Technology,FLT
187,16255815680.0,Materials,FMC
